Species.name.standardized.TPL.2016,Leaf.Area..mm2.,Nmass..mg.g.,LMA..g.m2.,Plant.Height..m.,Seed.Mass..mg.,SSD.combined..mg.mm3.,Accepted_name_TNRS2022,coment,growth_form,growthform_source
Anthericum ramosum,1733.5,12.015,42.535,0.437,4.1978,0.145,Anthericum ramosum,original_Diaz,herb,GIFT
Anthoxanthum odoratum,341.58,19.624,43.628,0.229,0.3945,0.2,Anthoxanthum odoratum,original_Diaz,herb,GIFT
Anthriscus sylvestris,720.62,27.966,32.749,0.836,4.1188,0.205,Anthriscus sylvestris,original_Diaz,herb,GIFT
Anthyllis montana,346,24.1,79.442,0.063,3.5481,0.243,Anthyllis montana,original_Diaz,herb,GIFT
Anthyllis vulneraria,182.18,28.98,65.641,0.133,5.8209,0.189,Anthyllis vulneraria,original_Diaz,herb,GIFT
Apeiba glabra,5539.62,21.733,82.339,27.98,16.1,0.319,Apeiba glabra,original_Diaz,tree,GIFT
Apeiba membranacea,8928.58,23.147,69.379,28.37,16.4562,0.299,Apeiba membranacea,original_Diaz,tree,GIFT
Apeiba petoumo,9287.69,19.672,71.753,25.014,160.947,0.31,Apeiba petoumo,original_Diaz,tree,GIFT
Apeiba tibourbou,16660.02,26.103,59.499,23.432,8.4647,0.23,Apeiba tibourbou,original_Diaz,tree,GIFT
Aphanes arvensis,38,16.46,59.128,0.109,0.1469,0.232,Alchemilla arvensis,original_Diaz,herb,GIFT
Aphyllanthes monspeliensis,147,23.288,186.069,0.23,1.3587,0.249,Aphyllanthes monspeliensis,original_Diaz,herb,GIFT
Apium nodiflorum,4231.59,50.076,17.337,0.333,0.4721,0.149,Helosciadium nodiflorum,original_Diaz,herb,GIFT
Apocynum androsaemifolium,7156.82,17.256,51.6,0.736,0.2289,0.271,Apocynum androsaemifolium,original_Diaz,herb,GIFT
Apodytes dimidiata,942.02,21.115,153.784,8.66,104.4,0.605,Apodytes dimidiata,original_Diaz,tree,GIFT
Aposeris foetida,2903.33,25.37,17.75,0.106,2.17,0.144,Aposeris foetida,original_Diaz,herb,GIFT
Aquilegia atrata,10053.39,35.807,17.156,0.424,1.3849,0.189,Aquilegia atrata,original_Diaz,herb,GIFT
Aquilegia einseleana,689.65,28.825,47.408,0.152,0.8585,0.215,Aquilegia einseleana,original_Diaz,herb,GIFT
Aquilegia vulgaris,3108.14,23.2,38.788,0.55,1.4875,0.248,Aquilegia vulgaris,original_Diaz,herb,GIFT
Arabidopsis thaliana,243.06,35.7,31.175,0.126,0.0162,0.148,Arabidopsis thaliana,original_Diaz,herb,GIFT
Arabis alpina,87.65,29.4,37.559,0.142,0.2015,0.167,Arabis alpina,original_Diaz,herb,GIFT
Arabis hirsuta,177.46,20,42.899,0.372,0.0908,0.18,Arabis hirsuta,original_Diaz,herb,GIFT
Arabis turrita,1410.33,39.865,28.046,0.318,0.4947,0.152,Pseudoturritis turrita,original_Diaz,herb,GIFT
Araucaria araucana,330,5.8,318.471,50,4203.9654,0.556,Araucaria araucana,original_Diaz,tree,GIFT
Arbutus menziesii,4276.55,11.529,152.678,19.718,92.6492,0.563,Arbutus menziesii,original_Diaz,tree,GIFT
Archidendron clypearia,411.43,24.85,75.586,10,157,0.32,Archidendron clypearia,original_Diaz,tree,GIFT
Arctium lappa,6168.92,39.851,52.419,1.353,11.9017,0.198,Arctium lappa,original_Diaz,herb,GIFT
Arctium minus,114187.35,38.395,43.14,0.722,9.3573,0.185,Arctium minus,original_Diaz,herb,GIFT
Arctostaphylos tomentosa,578.54,9.551,140.551,3.9,13.8429,0.72,Arctostaphylos tomentosa,original_Diaz,shrub,GIFT
Ardisia ambigua,6630.37,13,60.479,11.84,76.66,0.499,Geissanthus ambiguus,original_Diaz,tree,GIFT
Ardisia polysticta,4089.7,24.75,50.4,2.5,85.3,0.289,Ardisia polysticta,original_Diaz,shrub,GIFT
Ardisia revoluta,3019,14.485,138.885,4,53.99,0.692,Ardisia revoluta,original_Diaz,tree,GIFT
Arenaria aggregata,4.07,19.698,103.701,0.044,0.2706,0.28,Arenaria aggregata,original_Diaz,herb,GIFT
Arenaria lanuginosa,40,17.96,44.843,0.15,0.17,0.174,Arenaria lanuginosa,original_Diaz,herb,GIFT
Arenaria serpyllifolia,7.33,13.953,50.149,0.102,0.0671,0.12,Arenaria serpyllifolia,original_Diaz,herb,GIFT
Arisaema triphyllum,6946.4,29.401,25.705,0.474,18.2852,0.063,Arisaema triphyllum,original_Diaz,herb,GIFT
Aristida achalensis,1419.43,10.108,105.991,0.442,1,0.428,Aristida achalensis,original_Diaz,herb,GIFT
Aristida adscensionis,70.2,16.384,82.305,0.304,0.6064,0.343,Aristida adscensionis,original_Diaz,herb,GIFT
Aristida oligantha,135.4,14.63,36.193,0.26,2.81,0.66,Aristida oligantha,original_Diaz,herb,GIFT
Aristida purpurea,20,9.88,153.846,0.171,1.0587,0.385,Aristida purpurea,original_Diaz,herb,GIFT
Aristotelia serrata,3809.06,21.523,36.634,3.851,3.9106,0.422,Aristotelia serrata,original_Diaz,tree,GIFT
Armeria maritima,129.06,17,68.952,0.156,1.4075,0.19,Armeria maritima,original_Diaz,herb,GIFT
Arnica montana,1601.5,17.906,54.336,0.303,1.67,0.159,Arnica montana,original_Diaz,herb,GIFT
